POSITION,CLUB,FU,POINTS,PLAYED,WINS,DRAWN,LOST,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,YELLOW CARD,RED CARD,%
1,Flamengo,RJ,71,38,21,8,9,68,48,20,90,4,62
2,Internacional,RS,70,38,20,10,8,61,35,26,91,9,61
3,Atlético,MG,68,38,20,8,10,64,45,19,72,6,59
4,São Paulo,SP,66,38,18,12,8,59,41,18,95,2,57
5,Fluminense,RJ,64,38,18,10,10,55,42,13,85,5,56
6,Grêmio,RS,59,38,14,17,7,53,40,13,70,8,51
7,Palmeiras,SP,58,38,15,13,10,51,37,14,96,5,50
8,Santos,SP,54,38,14,12,12,52,51,1,86,6,47
9,Athletico Paranaense,PR,53,38,15,8,15,38,36,2,82,5,46
10,Red Bull Bragantino,SP,53,38,13,14,11,50,40,10,81,4,46
11,Ceará,CE,52,38,14,10,14,54,51,3,91,10,45
12,Corinthians,SP,51,38,13,12,13,45,45,0,83,10,44
13,Atlético,GO,50,38,12,14,12,40,45,-5,82,6,43
14,Bahia,BA,44,38,12,8,18,48,59,-11,88,8,38
15,Sport,PE,42,38,12,6,20,31,50,-19,98,7,36
16,Fortaleza,CE,41,38,10,11,17,34,44,-10,82,11,35
17,Vasco da Gama,RJ,41,38,10,11,17,37,56,-19,87,7,35
18,Goiás,GO,37,38,9,10,19,41,63,-22,117,6,32
19,Coritiba,PR,31,38,7,10,21,31,54,-23,82,8,27
20,Botafogo,RJ,27,38,5,12,21,32,62,-30,72,6,23
